id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
d8109818-e140-4c28-9a3b-21fb832a2294,Which vitamin deficiency occurs in patients taking first line antitubercublar drugs -,Niacin,Pyridoxin,Ascorbate,Thiamine,1,single,"Ans. is 'b' i.e., Pyridoxin o Isoniazid reacts with pyridoxal to form a hydrazone, and thus inhibits gneration of pyridoxal phosphate.o Isoniazid also combines with pyridoxal phosphate to interfere with its coenzyme function. Due to formation of hydrazones, the renal excretion of pyridoxine compounds is increasedo Thus, isoniazid therapy produces a pyridoxine deficiency state.",Pharmacology,Anti Microbial
b1c37112-8db5-48ab-b6a1-16764629776a,Drug of choice for deep vein thrombosis prophylaxis in surgical patients is :,Intravenous unfractionated heparin,Subcutaneous unfractionated heparin,Subcutaneous low molecular weight heparin,Warfarin,3,single,,Pharmacology,
4535dee3-1348-40ca-b8c4-6565a38cc6a7,Muscle relaxant safe in renal failure patient is: September 2008,Pancuronium,Piperacuronium,Curare,Atracurium,3,single,"Ans. D: Atracurium Suxamethonium should be avoided if hyperkalaemia is present. Some non-depolarising muscle relaxants depend on the kidney for elimination. Atracuriuin is the agent of choice as it undergoes spontaneous Hoffman degradation at body temperature. Vecuronium and mivacurium are safe to use in renal failure as only small percentages are excreted renally. Gallamine should be avoided and pancuronium, alcuronium, pipecuronium, curare and doxacurium should be used with caution. Potentiation of neuromuscular blockade may occur in the presence of a metabolic acidosis, hypokalaemia, hypermagnesaemia, or hypocalcaemia and with medications such as aminoglycosides. Monitor neuromuscular blockade whenever possible.",Pharmacology,
186f2996-7e1f-4850-b1f8-aa8b7efb4359,A patient of schizophrenia treated for 5 years developed perioral movements. Likely diagnosis is:,Tardive dyskinesia,Muscular dystonia,Akathisia,Malignant neuroleptic syndrome,0,single,"Ans. A. Tardive dyskinesiaTardive dyskinesia is the abnormal movement of tongue, lips or buccal cavity after long time intake of antipsychotic drug intake. It develops after minimum of six months of antipsychotic intake.",Psychiatry,Pharmacotherapy Management of Children and Adolescents
2dbc5a40-064f-4e29-9dcf-103f35ea8fa7,"A patient complains of muscle weakness. It was reversed on administration of neostigmine, because:",It blocks action of acetylcholine,It interferes with the action of mono amine oxidase,It interferes with the action of carbonic anhydrase,It interferes with the action of acetyl cholinesterase.,3,single,"Ans. (D) It interferes with the action of acetyl cholinesterase(Ref: Katzung 11/e p105)Neostigmine acts by inhibiting the enzyme acetylcholinesterase. This enzyme is involved in degradation of ACh, consequently neostigmine increases the synaptic level of ACh. Muscle weakness can be improved by stimulation of NM receptors at muscle end plate due to increased ACh.",Pharmacology,A.N.S.
e7299b4d-4458-460c-afd3-114be3b0f0e4,Which anti TB drug is avoided in HIV patient ?,INH,Rifampicin,Pyrazinamide,Streptomycin,1,single,"Ans. is 'b i.e., Rifampicin All HIV-infected TB patients are candidates for A, and the optimal timing for its initiation is as soon as possible and within the first 8 weeks of anti-TB therapy. Rifampin, a potent inducer of enzymes of the cytochrome P450 system, lowers serum levels of many HIV protease inhibitors and some non- nucleoside reverse transcriptase inhibitors-essential drugs used in A. In such cases, rifabutin, which has much less enzyme- inducing activity, has been recommended in place of rifampin. However, dosage adjustment for rifabutin and/or the antiret- roviral drugs may be necessary.",Pharmacology,
d6ad8a8e-4a7d-4804-8e87-394adbf3d31b,"A patient present to emergency with pinpoint Pupil,salivation, lacrimation, tremors and red tears. Plasma chlolinesterase level was 30% of normal. Most probable diagnosis is",Organophosphate poisoning,Datura poisoning,Opioid poisoning,Pontine hemorrhage,0,single,"These are characteristic features of anti-cholinestearse(organophosphate and carbamate) poisoning. Features of Organophosphate poisoning: Muscarinic symptoms: Pin point pupil, salivation,lacrimation, urination, defecation, gastrointestinal distress, vomiting, bronchospasm, bradycardia Nicotinic symptoms: Fasciculations and fibrillations of muscle, tachycardia, tachypnea CNS symptoms: Temors, giddiness, ataxia, coma Red tears: Due to accumulation of porphyrin in the lacrimal glands Ref-Katzung 12/e p110",Pharmacology,Autonomic nervous system
ae233254-20e7-4ace-9842-ea1b0dfda527,Antihypeensive which can be used in patients with gout and diabetic mellitus is,Thiazide,Enalapril,Propanolol,Diazoxide,1,single,"Refer kDT 6/e p551 Enalapril, sold under the brand name Vasotec among others, is a medication used to treat high blood pressure, diabetic kidney disease, and hea failure. For hea failure, it is generally used with a diuretic, such as furosemide. It is given by mouth or by injection into a vein. Onset of effects are typically within an hour when taken by mouth and last for up to a day",Pharmacology,Cardiovascular system
1617e406-8982-46d5-b12b-349d2833dd10,DOC for acute attack of asthma in patients on Beta blockers,Salbutamol,Theophylline,Ipratropium bomide,Chlorpheniramine,2,single,"Respiratory airway has beta adrenergic receptors(beta 2 receptors). Beta 2 agonists cause bronchodilatation, and beta 2 blockers cause bronchoconstriction. ipratropium bromide:- Atropine like drugs cause bronchodilatation by blocking M3 receptor mediated cholinergic constrictor tone; act primarily in the larger airways which receive vagal innervation. Ipratropium bromideis a sho acting (duration 4-6 hours) inhaled anticholinergic bronchodilator, while tiotropium bromide is long acting (duration 24 hours). They are the bronchodilators of choice in COPD. Ref:- kd tripathi;pg num:- 227,228",Pharmacology,Respiratory system
729e7c2c-dce0-43b5-8cac-4fb8bcef7fbd,Drug of choice for infantile spasms in a patient with tuberous scleosis is -,Vigabatrin,Tiagabine,Lamotrigine,Levetiracetam,0,single,"Ans. is 'a' i.e., Vigabatrin",Pharmacology,
cd394cfd-f689-4bb8-a660-fc7330490474,"A patient complains of muscle weakness. It was reversed on administration of neostigmine,because ?",It blocks action of acetylcholine,It interferes with the action of amine oxidase,It interferes with the action of carbonic anhydrase,It interferes with the action of acetylcholine esterase,3,single,"Ans. is 'd' i.e., It interferes with the action of acetyl cholinesterase o Neostigmine acts by inhibiting the enzyme acetylcholinesterase. This enzyme is involved in degradation of ACh, consequently neostigmine increases the synaptic level of ACh. Muscle weakness can be improved by stimulation of NM receptor at muscle end plate due to increased ACh.",Pharmacology,
e1451991-ac0c-43b5-a6a5-5045cd508a59,Use of aspirin in a diabetic patient can result in :,Hyperglycemia,Hypoglycemia,Ketoacidosis,Alkalosis,1,single,,Pharmacology,
af73cfa4-dfcd-4962-9fe4-2c58400db60a,"A diabetic patient with hypertension, which drug is preferred:",ACE Inhibitor,Beta blockers,CCB,Diuretics,0,single,"Ans. (a) ACE InhibitorRef Harrison's 18th ed. Ch 344* In a diabetic patient, hypertension can accelerate compli- cations of DM, particularly cardiovascular disease and nephropathy. In these patients ACE inhibitor is preferred. It slows down the progression of diabetic nephropathy.* American Diabetic Association recommends that all patients with diabetes and hypertension be treated with an ACE inhibitor or an ARB.* Subsequently, agents that reduce cardiovascular risk (beta blockers, thiazide diuretics, and calcium channel blockers) should be incorporated into the regimen.* While ACE inhibitors and ARBs are likely equivalent in most patients with diabetes and renal disease, the ADA notes:# In patients with type 1 diabetes, hypertension, and micro- or macroalbuminuria, an ACE inhibitor slowed progression of nephropathy# An ACE inhibitor or an ARB slowed the progression to macroalbuminuria in patients with type 2 diabetes, hypertension, and microalbumin-uria; and# ARB slowed the decline in GFR in patients with type 2 diabetes, hypertension, macroalbuminuria, and renal insufficiency.",Pharmacology,Anti-Hypertensive
bf286ff8-2318-402a-9a3d-85dc824ba58b,Muscle relaxant of choice in a patient with serum bilirubin 6mg/dl and serum creatinine of 4.5mg/dl,Vecuronium,Atracurium,Pancuronium,Mivacurium,1,single,"Refer KDT 7th, /353 Atracurium is eliminated by Hoffman's elimination. It means it neither require liver for metabolism nor kidney for excretion. It's molecules spontaneously reaarnge to make it reactivity. Thus it safest muscle relaxed in a patient on a patient with liver and kidney disease",Pharmacology,Anesthesia
1eb4c2af-4ab2-4a79-8c82-d63157f252d7,Patient of juvenile myoclonic epilepsy on valproate comes to you at 5 months of pregnancy with level II scan normal what will you advise-,Change the drug,Continue the drug in same dose,Decrease the dose of drug,Increase the dose of drug,1,single,"Ans. is 'b' i.e., Continue the drug in same dose o Valproic acid has the risk of fetal malformations during the first trimester of pregnancy,o This patient has normal level II scan at 5 months of pregnancy so the risk period of valproate is already over and valproate is the drug of choice in juvenile myoclonic epilepsy,o Thus the drug shoud be continued in the same doses.",Pharmacology,Epilepsy
229b9277-81ff-4133-bdc1-fa02afbd66c2,A patient on aspirin will have an increase in:,Bleeding time,Clotting time,Prothrombin time,Activated paial thromboplastin time,0,single,"Aspirin, even in small doses, irreversibly inhibits TXA2 synthesis by platelets. Thus, it interferes with platelet aggregation and bleeding time is prolonged to nearly twice the normal value. long-term intake of large dose decreases the synthesis of clotting factors in the liver and predisposes to bleeding; can be prevented by prophylactic vit K therapy. ESSENTIALS OF MEDICAL PHARMACOLOGY;7TH EDITION; KD TRIPATHI; PAGE NO 196",Pharmacology,Autacoids
54f561a5-21b7-40b0-920b-29effe0e6679,Morbid jealousy is most often seen in patients taking-,Alcohol,Amphetamine,LSD,Cannabis,0,single,"Morbid jealousy with delusions of infidelity about the wife (Othello syndrome) is extremely common in alcoholism. Morbid jealousy can also occur in schizophrenia, manic phase of bipolar illness, OCD, depression or anxiety disorder.",Psychiatry,
e734d540-1f42-48a6-8d02-9eb34a8762f8,"A patient is given tacrolimus, which antibiotic should not be given to him?",Gentamicin,Ciplatin,Rifampicin,Vancomycin,2,single,"Tacrolimus is a calcineurin inhibitor which is a specific T cell inhibitor is a very potent immunosuppressant drug. It is administered orally and by i.v infusion it is metabolized by CYP3A4 and excreted in bile. Among the given drugs Rifampicin is an enzyme inducer -increases several CYP450 isoenzymes like CYP3A4, CYP2D6, CYP1A2, CYP2C subfamily. Hence it increases the metabolism of several drugs like warfarin, tacrolimus, oral contraceptives, coicosteroids , sulfonylureas, ketakonazole,fluconazole,phenytoin,etc.so rifampicin is avoided. ESSENTIAL of MEDICAL pHARMACOLOGY. SEVENTH EDITION -KD TRIPATHI Page no:768,885",Pharmacology,Immunomodulators
2f41fcb2-2767-4987-82d5-28eadca3c905,Carbamazepine in elderly patient can cause,Hyponatremia,Hypokalemia,Hyperkalemia,Hypernatremia,0,single,#NAME?,Pharmacology,Sedative-Hypnotics and Parkinsonism
20083af4-29d6-4267-9dfc-ac6ccc7db1ff,"A patient complains of muscle weakness it was reversed on administration of neostigmine, because",It blocks the action of acetylcholine,It interfere with the action of monoamine oxidase,It interfere with the action of carbonic anhydrase,It interfere with action of acetylcholine esterases,3,single,"Refer katzung 11e p 105 neostigmine acts by inhibiting the enzyme acetylcholinesteresis This enzyme is involved in the degradation of acetylcholine, consequential neostigmine increases the synaptic level of acetylcholine. Muscle weakness can be improved with the stimulation of Nm receptors at muscle endplate due to increase the acetylcholine",Pharmacology,Autonomic nervous system
b85ec48c-93cb-44e2-860b-c0add5377e95,Antihypertensive of choice in a patient of diabetes mellitus with proteinuria is:,Enalapril,Propranolol,Hydralazine,Minoxidil,0,single,,Pharmacology,
4827d729-aa0c-49b2-ba87-0c92704629a6,Physical withdrawal symptoms are not marked in patients abusing:,Pethidine,Cannabis,Opium,Alcohol,1,single,Cannabis,Psychiatry,
e3a755ac-3d2e-4c0c-974d-94541d42109f,"A psychiatric patient taking medication develops tremor, thyroid enlargement and leukocytosis. Drug implicated is:",Clomipramine,Haloperidol,Lithium,Olanzapine,2,single,"Ans. C. LithiumLithium is mood stabilizer which is drug of choice for bipolar syndrome. It causes tremor, nephrotoxicity, hypothyroidism and Ebstein anomaly. Typical antipsychotics like haloperidol causes EPS and atypical antipsychotics weight gain, hyperglycemia.",Pharmacology,C.N.S
d09cd580-5e66-4703-9da2-74ac87f9343a,Which drug is contraindicated in a glaucoma patient suffering from bronchial asthma:,Timolol maleate,Latanoprost,Betaxolol,Brimonidine,0,single,,Pharmacology,
8725bf56-ec06-4226-a274-6cac94d8ba97,"A patient presents to emergency with a pinpoint pupil, salivation, lacrimation, tremors and red tears. Plasma cholinesterase level was 30% of normal. Most probable Diagnosis is:",Organophospahte poisoning,Dhatura poisoning,Opioid poisoning,Pontine hemorrhage,0,single,"The given features are those of anticholinesterase.
Acetylcholinesterase causes inactivation of acetylcholine after its action at neuromuscular junctions. When this is blocked, there is the higher action of acetylcholine, which shows as increased parasympathetic activity.
Anticholinesterase activity is seen in Organophosphate poisoning.",Pharmacology,
db89ffac-74e0-48f2-974f-b69f40bc5957,Route of choice for analgesics in cancer patients,Oral,IV,Topical,Sublingual,0,single,,Pharmacology,
97866dd6-6451-4805-8960-8dcbaa3885e2,"A schizophrenic patient shows abnormal back and forth movements of hands, diagnosis -",Catatonic schizophrenia,Paranoid schizophrenia,Disorganized schizophrenia,Undifferentiated schizophrenia,0,single,"Ans is 'a' i.e. Catatonic schizophrenia o Clinical subtypes of schizophrenia are:-1) Paranoid schizophrenia:- This is the commonest type of schizophrenia. The core symptoms are delusions of persecution, i.e., there are suspicious ideas and belief. Delusions of grandeur, reference, Control and double are also common as are the auditory hallucinations. There is minimal or no disturbances of affect volition, speech, motor behavior, and personality. The onset is in later life (3rd- 4th decade), in contrast to other subtypes. The prognosis is better than other subtypes (only catotonic schizophrenia has better prognosis better than paranoid). Amphetamine can cause paranoid schizophrenia like symptoms.2) Hebephrenic (Disorganized) schizophrenia:- It is the second most common type of schizophrenia. As evident from its name (disorganized), this type of schiophrenia is marked by disorganized thought, behavior, speech, affect, and personality with fragmentary and changeable delusions and hallucinations. This is one of the subtype where emotional impairment is prominent (e.g., flat or inappropriate affect). It has one of the worst prognosis as negative symptoms occur early (e.g., flat, blunted or inappropriate affect). This subtype starts early in 2nd decade.3) Catatonic schizophrenia:- It is characterized by a marked disturbance of motor behavior. It may occur in three forms:-a) Excited catatonia:- It is characterized by increased in psychomotor activity (restlessness, agitation, excitment, aggressiveness, violence) and increase in speech production (Pressure of speech). Psychomotor activity is purposeless and has not apparent relationship with external environment. The impulsive activity may occur in response to hallucinations and delusions. Reactive catatonia has the best prognosis.b) Stuporous (retarded) catatonia:- Characterized by extreme retardation of psychomotor function, which includes mutism, rigidity, negativism, posturing, echolalia, Echopraxia, Catalepsy (waxy flexibility), ambitendency, gegenhalten, Streotypies, stupor, Mannerism, Grimicing), Automatic obedience, and verbigeration.c) Catatonia alternating between excitment and stupor:- The features of both excited catatonia and stuporous catatonia are altematingly present.4) Undifferentiated schizophrenia:- This type meets the general diagnostic criteria for schizophrenia but symptoms do not meet the criteria for paranoid, catatonic, and disorganized schizophrenia.5) Residual schizophrenia:- This represents a chronic stage of schizophrenia with incomplete remissions and residual negative symptoms (lack of drive, shallow affect) with no or minimal recurrence of positive symptoms (i.e., Absence of delusions, hallucinations, disorganized speech, catatonic behavior).6) Simple schizophrenia:- Characterized by a slow and progressive withdrawal from the social and work situations. Except for lack of drive & initiative (due to withdrawal) and shallow emotions the patient does not exhibit any psychotic features (Hallucination or delusions are not present), i.e., there are only negative symptoms and no positive symptoms. In simple schizophrenia positive symptoms do not occur at any time during the course, in contrast to residual schizophrenia where positive symptoms occur initially but later on only residual negative symptoms remain to be present.7) Other:- In post-schizophrenic depression the depressive symptoms become florid as an outcome of schizophrenic illness and not as a reaction to it. Schizophrenia when occurs in the presence of mental retardation, is called pfropf schizophrenia. Von-Gogh syndrome is a dramatic self multilation in schizophrenia.",Psychiatry,Schizophreniform Disorder
dce672fb-781c-45a3-b33b-47df6c8a4263,A patient with obsessive - compulsive neurosis is more likely to develop :,Depression,Schizophrenia,Delusional disorders,Conversion syndrome,0,single,About one - third of patients with OCD have major depressive disorder and suicide is a risk for all patients with OCD.,Psychiatry,
a35506e2-bbb8-4b07-99ba-dbf774cf09eb,Cephalosporin that does not require dose reduction in a patient with any degree of renal impairment is :,Cefuroxime,Cefoperazone,Ceftazidime,Cefotaxime,1,single,"Ceftriaxone and cefoperazone are excreted mainly in the bile, therefore do not require dose reduction in any grade of renal failure.",Pharmacology,
5b69f8b0-73f5-4478-8713-5a639ae4bae0,Warfarin induced skin necrosis is more common in patients with,Protein C deficiency,Sickle cell anemia,Factor V leiden deficiency,Antithrombin 3 deficiency,0,single,It is due to decreased levels of protein C. It is more likely to occur in patients with genetic deficiency of protein C. Most common side effect of warfarin:Bleeding Dermal vascular necrosis is early appearing adverse effect. Due to decreased osteocalcin synthesis Warfarin causes nasal hypoplasia and therefore contraindicated in pregnancy,Pharmacology,Hematology
a392b413-85a1-49f8-8a2b-644b4810b04a,A patient in labor ward was given opioid analgesic. Which drug should be kept ready for emergency?,Naloxone,Lignocaine,Diphenhydramine,Fentanyl,0,single,ANS. A# Opioid antagonists1. Naloxone2. Natrexone3. Nalmefene# Clinical uses of Naloxone1. Drug of choice for morphine poisoning (0.4-0.8 mg IV every 2-3 min; max 10 mg)2. To reverse the respiratory depression due to intraoperative use of opioids3. Diagnosis of opioid dependence4. Partially reverses alcohol intoxication,Pharmacology,C.N.S
